Civilité;Prenom;Nom;Societe;Site;Departement;Service;fonction;Manager-Prenom;Manager-Nom;Nom de PC;Marque PC;Date de naissance;Telephone fixe;Telephone portable
M.;Nizar;Rajavi;EcoTechSolutions;Bordeaux;Développement;Développement backend;Développeur;Hugo;Dimitrov;PA69049;HP;25/12/1997;0540286830;0704342065
M.;Oussama;Yamamoto;EcoTechSolutions;Bordeaux;Développement;Développement backend;Développeur;Hugo;Dimitrov;PA69039;HP;28/08/2001;0574660457;0689000684
Mme;Petra;Hoàng;EcoTechSolutions;Bordeaux;Développement;Développement backend;Développeur;Hugo;Dimitrov;PA90620;TOSHIBA;12/04/1991;0559691031;0657598646
Mme;Sakura;Abe;EcoTechSolutions;Bordeaux;Développement;Développement backend;Développeur;Hugo;Dimitrov;PA69048;HP;29/07/1981;0580539339;0690350755
Mme;Salma;Mohamed;EcoTechSolutions;Bordeaux;Développement;Développement backend;Développeur;Hugo;Dimitrov;PA69054;LENOVO;14/07/1979;0587397053;0691250889
M.;Teo;Patel;EcoTechSolutions;Bordeaux;Développement;Développement backend;Développeur;Hugo;Dimitrov;PA48530;LENOVO;16/10/2003;0543010839;0645594187
M.;Walid;Ndiaye;EcoTechSolutions;Bordeaux;Développement;Développement backend;Développeur;Hugo;Dimitrov;PA69047;LENOVO;07/10/1983;0539345838;0675345464
Mme;Yara;Velásquez;EcoTechSolutions;Bordeaux;Développement;Développement backend;Développeur;Hugo;Dimitrov;PA69042;TOSHIBA;20/07/1984;0522840809;0627589196
Mme;Adem;Farid;EcoTechSolutions;Bordeaux;Développement;Développement fronted;Développeur;Hugo;Dimitrov;PA69079;TOSHIBA;24/03/1988;0576975329;0653187858
Mme;Ali;Ali;EcoTechSolutions;Bordeaux;Développement;Développement fronted;Développeur;Hugo;Dimitrov;PA69085;TOSHIBA;03/08/1985;0554456171;0609964479
M.;Alicia;Amrane;EcoTechSolutions;Bordeaux;Développement;Développement fronted;Développeur;Hugo;Dimitrov;PA69113;HP;14/02/2002;0580601146;0763449946
M.;Amine;Öztürk;EcoTechSolutions;Bordeaux;Développement;Développement fronted;Développeur;Hugo;Dimitrov;PA69072;HP;02/06/1993;0593794103;0604733805
M.;Anika;Garcia;EcoTechSolutions;Bordeaux;Développement;Développement fronted;Développeur;Hugo;Dimitrov;PA69084;LENOVO;27/09/1991;0557736529;0625067389
M.;Aya;Traoré;EcoTechSolutions;Bordeaux;Développement;Développement fronted;Développeur;Hugo;Dimitrov;PA69080;LENOVO;18/12/1983;0559814465;0673516850
Mme;Aya;Papadopoulos;EcoTechSolutions;Bordeaux;Développement;Développement fronted;Développeur;Hugo;Dimitrov;PA69099;HP;16/09/1990;0568981940;0667747390
M.;Bilal;Hassan;EcoTechSolutions;Bordeaux;Développement;Développement fronted;Développeur;Hugo;Dimitrov;PA69090;TOSHIBA;09/07/1996;0574527610;0621785748
M.;Celia;Benguigui;EcoTechSolutions;Bordeaux;Développement;Développement fronted;Développeur;Hugo;Dimitrov;PA69119;TOSHIBA;23/01/1983;0514744893;0633513427
M.;Chiara;Rodriguez;EcoTechSolutions;Bordeaux;Développement;Développement fronted;Développeur;Hugo;Dimitrov;PA69086;LENOVO;09/04/2000;0556274023;0665466082
M.;Clara;Ziani;EcoTechSolutions;Bordeaux;Développement;Développement fronted;Développeur;Hugo;Dimitrov;PA69115;TOSHIBA;12/11/1991;0582453037;0720106403
M.;Dina;Abdeslam;EcoTechSolutions;Bordeaux;Développement;Développement fronted;Développeur;Hugo;Dimitrov;PA69117;TOSHIBA;19/03/1985;0582076804;0754379992
M.;Elias;Habibi;EcoTechSolutions;Bordeaux;Développement;Développement fronted;Développeur;Hugo;Dimitrov;PA69076;LENOVO;02/04/1979;0518440753;0743528471
Mme;Fares;Dias;EcoTechSolutions;Bordeaux;Développement;Développement fronted;Développeur;Hugo;Dimitrov;PA69116;LENOVO;28/11/1990;0596996174;0710081240
Mme;Fatima;Sato;EcoTechSolutions;Bordeaux;Développement;Développement fronted;Développeur;Hugo;Dimitrov;PA69062;TOSHIBA;21/10/1999;0529858278;0619835779
Mme;Fatima;Schmitt;EcoTechSolutions;Bordeaux;Développement;Développement fronted;Développeur;Hugo;Dimitrov;PA69107;TOSHIBA;11/12/1984;0559284808;0601636430
Mme;Greta;Lam;EcoTechSolutions;Bordeaux;Développement;Développement fronted;Développeur;Hugo;Dimitrov;PA69097;LENOVO;29/08/1995;0528239297;0796314157
M.;Hedi;Ziani;EcoTechSolutions;Bordeaux;Développement;Développement fronted;Développeur;Hugo;Dimitrov;PA69055;TOSHIBA;22/03/1987;0543765483;0715077946
Mme;Helda;Müller;EcoTechSolutions;Bordeaux;Développement;Développement fronted;Développeur;Hugo;Dimitrov;PA69120;LENOVO;08/01/1980;0519598682;0636157491
Mme;Hichem;Meunier;EcoTechSolutions;Bordeaux;Développement;Développement fronted;Développeur;Hugo;Dimitrov;PA69110;HP;03/06/1999;0517693166;0670136453
Mme;Indira;Singh;EcoTechSolutions;Bordeaux;Développement;Développement fronted;Développeur;Hugo;Dimitrov;PA69056;LENOVO;08/09/2001;0524835537;0601268764
Mme;Keiko;Zerouali;EcoTechSolutions;Bordeaux;Développement;Développement fronted;Développeur;Hugo;Dimitrov;PA69068;TOSHIBA;23/07/1995;0520414760;0665960107
M.;Keiko;Patel;EcoTechSolutions;Bordeaux;Développement;Développement fronted;Développeur;Hugo;Dimitrov;PA69078;LENOVO;12/12/1989;0507981644;0696201915
M.;Kenzo;Rahman;EcoTechSolutions;Bordeaux;Développement;Développement fronted;Développeur;Hugo;Dimitrov;PA69059;HP;05/09/1990;0533765657;0631791669
M.;Khaled;Andersson;EcoTechSolutions;Bordeaux;Développement;Développement fronted;Développeur;Hugo;Dimitrov;PA69092;TOSHIBA;25/07/1995;0587301516;0685540382
Mme;Lamia;El-Ghazali;EcoTechSolutions;Bordeaux;Développement;Développement fronted;Développeur;Hugo;Dimitrov;PA69060;HP;06/07/1978;0530774125;0762396379
M.;Leo;Velasquez;EcoTechSolutions;Bordeaux;Développement;Développement fronted;Développeur;Hugo;Dimitrov;PA69098;HP;09/01/2001;0558672751;0786598608
Mme;Lina;Nakamura;EcoTechSolutions;Bordeaux;Développement;Développement fronted;Développeur;Hugo;Dimitrov;PA69058;LENOVO;12/10/1981;0569517636;0709286381
Mme;Lina;Matsuda;EcoTechSolutions;Bordeaux;Développement;Développement fronted;Développeur;Hugo;Dimitrov;PA69103;TOSHIBA;04/12/2000;0541131306;0790062786
M.;Lina;Bouziane;EcoTechSolutions;Bordeaux;Développement;Développement fronted;Développeur;Hugo;Dimitrov;PA69111;HP;07/04/1991;0549958039;0619738848
Mme;Lucia;O'Brien;EcoTechSolutions;Bordeaux;Développement;Développement fronted;Développeur;Hugo;Dimitrov;PA69093;LENOVO;22/08/1990;0552786882;0660340794
M.;Mateo;Dahl;EcoTechSolutions;Bordeaux;Développement;Développement fronted;Développeur;Hugo;Dimitrov;PA69065;LENOVO;12/05/1985;0568230327;0789022918
M.;Mateo;Benitez;EcoTechSolutions;Bordeaux;Développement;Développement fronted;Développeur;Hugo;Dimitrov;PA69102;LENOVO;23/06/1990;0507023351;0747678849
Mme;Mehdi;Ferreira;EcoTechSolutions;Bordeaux;Développement;Développement fronted;Développeur;Hugo;Dimitrov;PA69118;LENOVO;29/12/1996;0572806093;0788340303
M.;Mei;Nguyen;EcoTechSolutions;Bordeaux;Développement;Développement fronted;Développeur;Hugo;Dimitrov;PA69082;LENOVO;24/12/2002;0552286371;0793444747
Mme;Mila;Müller;EcoTechSolutions;Bordeaux;Développement;Développement fronted;Développeur;Hugo;Dimitrov;PA69095;LENOVO;06/12/1990;0546070425;0728641211
Mme;Mina;Touati;EcoTechSolutions;Bordeaux;Développement;Développement fronted;Développeur;Hugo;Dimitrov;PA69071;HP;27/08/1986;0553194956;0745801423
Mme;Mira;Matsuda;EcoTechSolutions;Bordeaux;Développement;Développement fronted;Développeur;Hugo;Dimitrov;PA69077;TOSHIBA;31/10/1980;0527143617;0780901290
Mme;Mira;Boukhris;EcoTechSolutions;Bordeaux;Développement;Développement fronted;Développeur;Hugo;Dimitrov;PA69101;TOSHIBA;14/01/1981;0572287760;0784984812
Mme;Nael;Marquez;EcoTechSolutions;Bordeaux;Développement;Développement fronted;Développeur;Hugo;Dimitrov;PA69112;TOSHIBA;19/10/2001;0565680229;0743702406
M.;Nassim;Matsuda;EcoTechSolutions;Bordeaux;Développement;Développement fronted;Développeur;Hugo;Dimitrov;PA69067;LENOVO;22/04/1995;0530355920;0689043287
M.;Nizar;Matsuda;EcoTechSolutions;Bordeaux;Développement;Développement fronted;Développeur;Hugo;Dimitrov;PA69070;HP;29/05/1986;0558621640;0758767120
Mme;Noa;Svensson;EcoTechSolutions;Bordeaux;Développement;Développement fronted;Développeur;Hugo;Dimitrov;PA69108;LENOVO;13/02/1989;0531310252;0600144274
M.;Omar;Ochoa;EcoTechSolutions;Bordeaux;Développement;Développement fronted;Développeur;Hugo;Dimitrov;PA69057;TOSHIBA;18/02/1983;0543731838;0639090866
M.;Omar;Touati;EcoTechSolutions;Bordeaux;Développement;Développement fronted;Développeur;Hugo;Dimitrov;PA69096;TOSHIBA;11/05/1990;0576910690;0620033523
Mme;Oualid;Correia;EcoTechSolutions;Bordeaux;Développement;Développement fronted;Développeur;Hugo;Dimitrov;PA69114;HP;08/06/1979;0512070245;0694895404
M.;Oussama;Ziani;EcoTechSolutions;Bordeaux;Développement;Développement fronted;Développeur;Hugo;Dimitrov;PA69094;TOSHIBA;01/11/1999;0564949647;0745312296
M.;Rami;Moreno;EcoTechSolutions;Bordeaux;Développement;Développement fronted;Développeur;Hugo;Dimitrov;PA69088;HP;16/11/1996;0594159983;0671278069
M.;Rami;O'Connor;EcoTechSolutions;Bordeaux;Développement;Développement fronted;Développeur;Hugo;Dimitrov;PA69100;HP;27/11/1992;0579648487;0679195229
M.;Raouf;Kowalski;EcoTechSolutions;Bordeaux;Développement;Développement fronted;Développeur;Hugo;Dimitrov;PA69061;HP;03/06/1993;0509940486;0701363943
Mme;Sana;Hamadi;EcoTechSolutions;Bordeaux;Développement;Développement fronted;Développeur;Hugo;Dimitrov;PA69066;TOSHIBA;16/10/1989;0598620984;0719615638
Mme;Sana;Rajavi;EcoTechSolutions;Bordeaux;Développement;Développement fronted;Développeur;Hugo;Dimitrov;PA69089;HP;11/07/1980;0546664367;0770743195
Mme;Soraya;Amrani;EcoTechSolutions;Bordeaux;Développement;Développement fronted;Développeur;Hugo;Dimitrov;PA69069;LENOVO;21/12/1995;0571283181;0629056832
M.;Tahar;Ben Saïd;EcoTechSolutions;Bordeaux;Développement;Développement fronted;Développeur;Hugo;Dimitrov;PA69074;LENOVO;10/01/1989;0508461288;0757567403
Mme;Tenzin;Yamashita;EcoTechSolutions;Bordeaux;Développement;Développement fronted;Développeur;Hugo;Dimitrov;PA69087;HP;10/03/1992;0543737709;0741031601
Mme;Tessa;Romano;EcoTechSolutions;Bordeaux;Développement;Développement fronted;Développeur;Hugo;Dimitrov;PA69073;TOSHIBA;06/10/2001;0576998853;0765567898
M.;Tobias;Berisha;EcoTechSolutions;Bordeaux;Développement;Développement fronted;Développeur;Hugo;Dimitrov;PA69063;LENOVO;23/03/1986;0557140797;0647122370
Mme;Tobias;Wang;EcoTechSolutions;Bordeaux;Développement;Développement fronted;Développeur;Hugo;Dimitrov;PA69083;TOSHIBA;14/03/1995;0526701212;0689788805
M.;Walid;Fernandez;EcoTechSolutions;Bordeaux;Développement;Développement fronted;Développeur;Hugo;Dimitrov;PA69106;LENOVO;25/04/1994;0582808968;0621447826
Mme;Yara;Bianchi;EcoTechSolutions;Bordeaux;Développement;Développement fronted;Développeur;Hugo;Dimitrov;PA69105;TOSHIBA;02/04/1984;0534719974;0650967336
M.;Yasmine;Belmokhtar;EcoTechSolutions;Bordeaux;Développement;Développement fronted;Développeur;Hugo;Dimitrov;PA69109;HP;23/05/1983;0538262259;0627492218
Mme;Yassine;Habib;EcoTechSolutions;Bordeaux;Développement;Développement fronted;Développeur;Hugo;Dimitrov;PA69081;HP;10/05/2002;0521987889;0666153553
M.;Yassine;Vega;EcoTechSolutions;Bordeaux;Développement;Développement fronted;Développeur;Hugo;Dimitrov;PA69104;LENOVO;04/09/1986;0501181408;0694659492
Mme;Zahra;Gonzalez;EcoTechSolutions;Bordeaux;Développement;Développement fronted;Développeur;Hugo;Dimitrov;PA69064;TOSHIBA;11/04/1988;0526530588;0724960703
Mme;Zahra;Dahl;EcoTechSolutions;Bordeaux;Développement;Développement fronted;Développeur;Hugo;Dimitrov;PA69075;TOSHIBA;08/08/1990;0565902651;0640404230
Mme;Zayd;Slimani;EcoTechSolutions;Bordeaux;Développement;Développement fronted;Développeur;Hugo;Dimitrov;PA69091;LENOVO;27/03/1992;0588168669;0674574057
M.;Adem;Habibi;EcoTechSolutions;Bordeaux;Développement;Développement mobile;Développeur;Hugo;Dimitrov;PA69121;TOSHIBA;30/04/1990;0506262528;0695566507
M.;Bilal;Amrani;EcoTechSolutions;Bordeaux;Développement;Développement mobile;Développeur;Hugo;Dimitrov;PA69123;HP;28/07/1980;0568072545;0731463548
Mme;Layla;Klein;EcoTechSolutions;Bordeaux;Développement;Développement mobile;Développeur;Hugo;Dimitrov;PA69122;LENOVO;04/04/2001;0506604600;0711534321
Mme;Mira;Larsen;EcoTechSolutions;Bordeaux;Développement;Développement mobile;Développeur;Hugo;Dimitrov;PA69124;HP;27/04/1981;0515530998;0776425617
M.;Zayd;Gomez;EcoTechSolutions;Bordeaux;Développement;Développement mobile;Développeur;Hugo;Dimitrov;PA69125;TOSHIBA;21/04/1989;0505689902;0752842080
M.;Ahmed;Torres;EcoTechSolutions;Bordeaux;Développement;Recherche et Prototype;Développeur;Hugo;Dimitrov;PA82471;TOSHIBA;11/12/1995;0565476313;0689569342
M.;Amine;Habibi;EcoTechSolutions;Bordeaux;Développement;Recherche et Prototype;Développeur;Hugo;Dimitrov;PA82472;LENOVO;27/03/2000;0591658667;0724996980
M.;Bilel;Guedj;EcoTechSolutions;Bordeaux;Développement;Recherche et Prototype;Développeur;Hugo;Dimitrov;PA82477;LENOVO;04/01/1988;0544863210;0625139164
Mme;Célia;De la Cruz;EcoTechSolutions;Bordeaux;Développement;Recherche et Prototype;Développeur;Hugo;Dimitrov;PA82473;TOSHIBA;12/07/1989;0568628611;0608209508
M.;Kamel;Hamzaoui;EcoTechSolutions;Bordeaux;Développement;Recherche et Prototype;Développeur;Hugo;Dimitrov;PA82479;LENOVO;29/07/1981;0589749259;0708246187
M.;Kenzo;Mendoza;EcoTechSolutions;Bordeaux;Développement;Recherche et Prototype;Développeur;Hugo;Dimitrov;PA82476;LENOVO;07/05/1987;0542110363;0708892353
Mme;Lia;Prado;EcoTechSolutions;Bordeaux;Développement;Recherche et Prototype;Développeur;Hugo;Dimitrov;PA27339;LENOVO;22/10/1998;0593783903;0657452883
Mme;Mira;Novak;EcoTechSolutions;Bordeaux;Développement;Recherche et Prototype;Développeur;Hugo;Dimitrov;PA82478;LENOVO;07/01/1988;0500846696;0764270295
M.;Naomi;Larsen;EcoTechSolutions;Bordeaux;Développement;Recherche et Prototype;Développeur;Hugo;Dimitrov;PA82474;LENOVO;21/06/1990;0555844987;0670768275
Mme;Nassim;Fuentes;EcoTechSolutions;Bordeaux;Développement;Recherche et Prototype;Développeur;Hugo;Dimitrov;PA82475;TOSHIBA;11/04/1992;0557923820;0732309361
M.;Diego;Müller;UBIHard;Paris;Développement;Tests et qualité;Développeur;Hugo;Dimitrov;-;-;17/03/1994;0170585358;0684459459
M.;Luka;Zimmermann;UBIHard;Paris;Développement;Tests et qualité;Développeur;Hugo;Dimitrov;-;-;04/04/1989;0142354068;0792166463
Mme;Maria;Subramanian;UBIHard;Paris;Développement;Tests et qualité;Développeur;Hugo;Dimitrov;-;-;29/06/1993;0185390573;0769104463
M.;Nikos;Papadopoulos;UBIHard;Paris;Développement;Tests et qualité;Développeur;Hugo;Dimitrov;-;-;03/03/1992;0103205978;0752656608
M.;Noa;Ramos;UBIHard;Paris;Développement;Tests et qualité;Développeur;Hugo;Dimitrov;-;-;25/09/1979;0190401351;0670819442
Mme;Zara;Fernandez;UBIHard;Paris;Développement;Tests et qualité;Développeur;Hugo;Dimitrov;-;-;06/04/2002;0115149120;0761849173
M.;Hugo;Dimitrov;EcoTechSolutions;Bordeaux;Développement;;Directeur Développement;Emir;Rizzo;PA93655;TOSHIBA;28/03/1985;0534265628;0708540550
M.;Adel;Bakir;EcoTechSolutions;Bordeaux;Direction;;Directeur adjoint;Emir;Rizzo;PA75795;TOSHIBA;02/08/1995  ;0511787046;0627613053
M.;Amine;Levi;EcoTechSolutions;Bordeaux;Direction;;Assistant de direction;Adel;Bakir;PA75794;TOSHIBA;31/07/1986  ;0526973126;0677087041
Mme;Célia;Touati;EcoTechSolutions;Bordeaux;Direction;;Assistante de direction;Isadora;Ishikawa;PA75793;TOSHIBA;09/08/1983  ;0598295066;0730166786
M.;Emir;Rizzo;EcoTechSolutions;Bordeaux;Direction;;Directeur Général;-;;PA12959;TOSHIBA;09/05/1985  ;0521144761;0747209285
Mme;Isadora;Ishikawa;EcoTechSolutions;Bordeaux;Direction;;Responsable stratégie;Emir;Rizzo;PA75796;TOSHIBA;20/10/2001  ;0546287589;0796605753
M.;Leo;Tanaka;EcoTechSolutions;Bordeaux;Direction;;Assistant de direction;Emir;Rizzo;PA75792;TOSHIBA;12/12/1998  ;0558863498;0757121520
